appointment_id,service_id,service_name,practice_name,contact_name,email,phone,date,time,status,booking_channel,reference_code
apt_000001,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00001,Manager 00001,clinic00001@example.com,+1-555-300-1001,2026-04-06,09:15,pending,web_form,COB-20260406-000001
apt_000002,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00002,Manager 00002,clinic00002@example.com,+1-555-300-1002,2026-04-06,10:30,rescheduled,phone_assist,COB-20260406-000002
apt_000003,svc_billing_denials,Medical Billing and Denial Management,Clinic 00003,Manager 00003,clinic00003@example.com,+1-555-300-1003,2026-04-06,11:45,cancelled,chatbot,COB-20260406-000003
apt_000004,svc_auditing,Medical Auditing,Clinic 00004,Manager 00004,clinic00004@example.com,+1-555-300-1004,2026-04-06,13:00,confirmed,web_form,COB-20260406-000004
apt_000005,svc_customer_care,Customer Care,Clinic 00005,Manager 00005,clinic00005@example.com,+1-555-300-1005,2026-04-06,14:15,pending,phone_assist,COB-20260406-000005
apt_000006,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00006,Manager 00006,clinic00006@example.com,+1-555-300-1006,2026-04-06,15:30,rescheduled,chatbot,COB-20260406-000006
apt_000007,svc_financial_management,Financial Management,Clinic 00007,Manager 00007,clinic00007@example.com,+1-555-300-1007,2026-04-06,16:45,cancelled,web_form,COB-20260406-000007
apt_000008,svc_communication,Communication Services,Clinic 00008,Manager 00008,clinic00008@example.com,+1-555-300-1008,2026-04-06,09:00,confirmed,phone_assist,COB-20260406-000008
apt_000009,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00009,Manager 00009,clinic00009@example.com,+1-555-300-1009,2026-04-06,10:15,pending,chatbot,COB-20260406-000009
apt_000010,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00010,Manager 00010,clinic00010@example.com,+1-555-300-1010,2026-04-06,11:30,rescheduled,web_form,COB-20260406-000010
apt_000011,svc_billing_denials,Medical Billing and Denial Management,Clinic 00011,Manager 00011,clinic00011@example.com,+1-555-300-1011,2026-04-06,13:45,cancelled,phone_assist,COB-20260406-000011
apt_000012,svc_auditing,Medical Auditing,Clinic 00012,Manager 00012,clinic00012@example.com,+1-555-300-1012,2026-04-06,14:00,confirmed,chatbot,COB-20260406-000012
apt_000013,svc_customer_care,Customer Care,Clinic 00013,Manager 00013,clinic00013@example.com,+1-555-300-1013,2026-04-06,15:15,pending,web_form,COB-20260406-000013
apt_000014,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00014,Manager 00014,clinic00014@example.com,+1-555-300-1014,2026-04-06,16:30,rescheduled,phone_assist,COB-20260406-000014
apt_000015,svc_financial_management,Financial Management,Clinic 00015,Manager 00015,clinic00015@example.com,+1-555-300-1015,2026-04-06,09:45,cancelled,chatbot,COB-20260406-000015
apt_000016,svc_communication,Communication Services,Clinic 00016,Manager 00016,clinic00016@example.com,+1-555-300-1016,2026-04-06,10:00,confirmed,web_form,COB-20260406-000016
