kpi_id,service_id,month,avg_first_response_minutes,avg_resolution_hours,csat_score,escalation_rate_percent
kpi_0001,svc_credentialing,2026-01,5,9,4.05,3.8
kpi_0002,svc_auth_benefits,2026-02,6,10,4.1,4.6
kpi_0003,svc_billing_denials,2026-03,7,11,4.15,5.4
kpi_0004,svc_auditing,2026-04,8,12,4.2,6.2
kpi_0005,svc_customer_care,2026-05,9,13,4.25,7.0
kpi_0006,svc_digital_marketing,2026-06,10,14,4.3,7.8
kpi_0007,svc_financial_management,2026-07,11,15,4.35,8.6
kpi_0008,svc_communication,2026-08,12,16,4.4,3.0
kpi_0009,svc_credentialing,2026-09,13,17,4.45,3.8
kpi_0010,svc_auth_benefits,2026-10,14,18,4.0,4.6
kpi_0011,svc_billing_denials,2026-11,4,19,4.05,5.4
kpi_0012,svc_auditing,2026-12,5,20,4.1,6.2
kpi_0013,svc_customer_care,2026-01,6,21,4.15,7.0
kpi_0014,svc_digital_marketing,2026-02,7,22,4.2,7.8
kpi_0015,svc_financial_management,2026-03,8,23,4.25,8.6
kpi_0016,svc_communication,2026-04,9,24,4.3,3.0
kpi_0017,svc_credentialing,2026-05,10,25,4.35,3.8
kpi_0018,svc_auth_benefits,2026-06,11,26,4.4,4.6
kpi_0019,svc_billing_denials,2026-07,12,27,4.45,5.4
kpi_0020,svc_auditing,2026-08,13,28,4.0,6.2
kpi_0021,svc_customer_care,2026-09,14,29,4.05,7.0
kpi_0022,svc_digital_marketing,2026-10,4,30,4.1,7.8
kpi_0023,svc_financial_management,2026-11,5,31,4.15,8.6
kpi_0024,svc_communication,2026-12,6,32,4.2,3.0
kpi_0025,svc_credentialing,2026-01,7,33,4.25,3.8
kpi_0026,svc_auth_benefits,2026-02,8,34,4.3,4.6
kpi_0027,svc_billing_denials,2026-03,9,35,4.35,5.4
kpi_0028,svc_auditing,2026-04,10,36,4.4,6.2
kpi_0029,svc_customer_care,2026-05,11,37,4.45,7.0
kpi_0030,svc_digital_marketing,2026-06,12,38,4.0,7.8
kpi_0031,svc_financial_management,2026-07,13,39,4.05,8.6
